Individual,Farmer ID,Farms,Age,Gender,Current employment status,"If ""other"" employment status, please describe",Income currency,Monthly Household Income (Gross),Highest Level of Education,Number of Years Living in Country,Year started gardening (in general),Number of years participated in this garden/farm,Year started participating in this farm/garden,"Since participating in garden/farm, amount of vegetables eaten per week","Since participating in garden/farm, amount of fruits eaten per week","Since participating in garden/farm, amount of meals prepared at home","Have you tried any food from the garden/farm (vegetables, herbs, or fruits) that you had never eaten previously?",Portions of vegetables or fruit eaten each day?,"During growing season, percentage of vegetables and fruits that household eats which come from the garden/farm?",Hours spent in garden/farm per week,"Of hours in the garden, # hours actively gardening",Fraction of time actively gardening,"Importance of having access to fresh vegetables, fruits, or herbs",Importance of learning new things,Importance of sharing what I know with others,Importance of being able to be outdoors,Importance of having a chance to interact with others,Importance of engaging in a fun activity,Importance of contributing to my community,Importance of saving money,Importance of relaxing or releasing stress,Importance of getting some physical exercise,Importance of improving the environment,Importance of changing the way food is produced,Importance of gaining employment skills,Other important motivation,"Importance of ""Other"" motivation",Effects of gardening/farming on my interactions with others,Effects of gardening/farming on my overall mood,Effects of gardening/farming on my diet and nutrition,Effects of gardening/farming on my physical well-being,Effects of gardening/farming on my self-confidence,Effects of gardening/farming on my employment prospects,"Effects of gardening/farming on my other daily activities (work, school, child care)",Other effects of gardening/farming on me,"Importance of ""Other"" effect",City,Record complete?
46,46,,22,Male,I don't want to answer,,,I don't want to answer,I don't want to answer,10-20 years,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,01-Feb,Don't know,35,8,22.90%,Very important,Very important,Fairly important,Fairly important,Neutral,Neutral,Neutral,Very important,Very important,Fairly important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,No effect at all,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,,,,No
47,47,,20,Male,I don't want to answer,,,I don't want to answer,High School,I don't want to answer,2019,Less than 1 year,,Increased a lot,Increased a lot,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,75%,,,NaN,Neutral,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,Not important at all,Fairly important,Fairly important,Very important,Fairly important,Very important,,,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,No effect at all,Slight positive effect,Slight positive effect,,,,No
53,53,,20,Male,Fully employed,,,I don't want to answer,High School,>20 years,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 1-2 foods never eaten before,03-Apr,None (0%),8,7,87.50%,Fairly important,Very important,Fairly important,Fairly important,Very important,Very important,Very important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,Fairly important,,,Strong positive effect,Slight positive effect,No effect at all,No effect at all,Slight positive effect,No effect at all,No effect at all,,,,No
14,14,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",23,Male,Fully employed,,Dollar,1001 - 1500,High School,,,Less than 1 year,2019,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,01-Feb,25%,24,19,79.20%,Very important,Very important,Neutral,Fairly important,Very important,Fairly important,Very important,Fairly important,Very important,Fairly important,Fairly important,Fairly important,Fairly important,,,No effect at all,No effect at all,Slight positive effect,Strong positive effect,No effect at all,Strong positive effect,Strong positive effect,,,New York,
43,43,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",20,Male,Fully employed,,Dollar,500 - 1000,High School,>20 years,2019,Less than 1 year,,Increased a lot,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,25%,40,25,62.50%,Very important,Very important,Very important,Fairly important,Fairly important,Very important,Very important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,,,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Slight negative effect,,,New York,
44,44,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",20,Male,Fully employed,,Dollar,500 - 1000,High School,Always lived in this country,2019,Less than 1 year,,Remained about the same,Decreased a little,Increased a little,Tried 3 or more foods never eaten before,03-Apr,None (0%),38,34,89.50%,Very important,Very important,Very important,Neutral,Fairly important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Teaching my brothers another lifestyle,Very important,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,No effect at all,,,New York,
45,45,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",22,Male,Unemployed,,Dollar,1001 - 1500,High School,Always lived in this country,2019,Less than 1 year,,Increased a lot,Increased a lot,Increased a lot,Tried 1-2 foods never eaten before,01-Feb,25%,40,30,75.00%,Very important,Very important,Neutral,Neutral,Fairly important,Very important,Neutral,Very important,Very important,Very important,Fairly important,Fairly important,Very important,,,Strong positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Slight positive effect,Strong positive effect,,,New York,
48,48,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Other,Unemployed,,Dollar,1001 - 1500,High School,10-20 years,2019,Less than 1 year,,Increased a little,Remained about the same,Increased a little,Tried 3 or more foods never eaten before,03-Apr,50%,8,7,87.50%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,,,Strong positive effect,Strong positive effect,Slight positive effect,Slight positive effect,Strong positive effect,Strong positive effect,Strong positive effect,,,New York,
49,49,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Female,Fully employed,,Dollar,1001 - 1500,University degree,Always lived in this country,2019,Less than 1 year,,Remained about the same,Remained about the same,Remained about the same,Tried 3 or more foods never eaten before,03-Apr,All (100%),,,NaN,Very important,Very important,Neutral,Fairly important,Not so important,Fairly important,Very important,Very important,Very important,Fairly important,Very important,Very important,Very important,,,Strong positive effect,No effect at all,Slight positive effect,Strong positive effect,No effect at all,Strong positive effect,Strong positive effect,,,New York,
50,50,"Wagner,Red Hook,Mariner's Harbor,Howard,Forest,Bay View",19,Male,Unemployed,,Dollar,500 - 1000,High School,10-20 years,2019,Less than 1 year,,Increased a little,Increased a little,Increased a little,Tried 3 or more foods never eaten before,Don't know,50%,40,38,95.00%,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Promoting health,Very important,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Strong positive effect,Slight positive effect,Tolerance,Strong positive effect,New York,
